"מק""ט (SKU)",שם מוצר רשמי (קומקס),קטגוריה לוגיסטית,יחידת מידה,סלנג ומילות מפתח לנרמול AI,סיווג וחישוב פקדונות,"משקל יח' (ק""ג)",מחסן מקור ברירת מחדל,שיוך נהג ומשאית ברירת מחדל
111300,לוח גבס לבן 300 ע 12.50,לוחות גבס,יח',לוח גבס לבן 300 ע 12.50,ללא,0,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
112000,"לוח גבס ירוק/ורוד מ""ר **",לוחות גבס,יח',"לוח גבס ירוק/ורוד מ""ר **",ללא,0,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
112200,לוח גבס ירוק 200 ע 12.50,לוחות גבס,יח',לוח גבס ירוק 200 ע 12.50,ללא,0,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
112260,לוח גבס ירוק 260 ע 12.50,לוחות גבס,יח',לוח גבס ירוק 260 ע 12.50,ללא,0,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
112280,לוח גבס ירוק 280 ע 12.50,לוחות גבס,יח',לוח גבס ירוק 280 ע 12.50,ללא,0,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
112300,לוח גבס ירוק 300 ע 12.50,לוחות גבס,יח',לוח גבס ירוק 300 ע 12.50,ללא,0,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
113200,לוח גבס ורוד 200 ע 12.50,לוחות גבס,יח',לוח גבס ורוד 200 ע 12.50,ללא,0,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
113260,לוח גבס ורוד 260 ע 12.50,לוחות גבס,יח',לוח גבס ורוד 260 ע 12.50,ללא,0,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
114000,"לוח גבס כחול מ""ר **",לוחות גבס,יח',"לוח גבס כחול מ""ר **","משטח סבן (40 שקים) (מק""ט 60060)",25,🏭 4️⃣(החרש),עלי (פתוחה)
114260,לוח גבס כחול 260 ע 12.50,לוחות גבס,יח',לוח גבס כחול 260 ע 12.50,"משטח סבן (40 שקים) (מק""ט 60060)",25,🏭 4️⃣(החרש),עלי (פתוחה)
115200,לוח גבס 4K לבן 200 ע 12.50,לוחות גבס,יח',לוח גבס 4K לבן 200 ע 12.50,ללא,0,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
115260,לוח גבס 4K לבן 260 ע 12.50,לוחות גבס,יח',לוח גבס 4K לבן 260 ע 12.50,ללא,0,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
116000,"לוח גבס 4K ירוק/ורוד מ""ר **",לוחות גבס,יח',"לוח גבס 4K ירוק/ורוד מ""ר **",ללא,0,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
116260,לוח גבס 4K ירוק 260 ע 12.50,לוחות גבס,יח',לוח גבס 4K ירוק 260 ע 12.50,ללא,0,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
117000,"לוח גבס פיאנו מ""ר **",לוחות גבס,יח',"לוח גבס פיאנו מ""ר **",ללא,0,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
119260,לוח גבס לבן 260 ע 9.50,לוחות גבס,יח',לוח גבס לבן 260 ע 9.50,ללא,0,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
120200,לוח גבס סוג*ב*200,לוחות גבס,יח',לוח גבס סוג*ב*200,ללא,0,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
120260,לוח גבס סוג*ב*260,לוחות גבס,יח',לוח גבס סוג*ב*260,ללא,0,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
122260,"צמנט בורד 260 ע 8 מ""מ",מליטה וצמנט,יח',צמנט בורד 260 ע,"משטח סבן (40 שקים) (מק""ט 60060)",25,🏭 4️⃣(החרש),עלי (פתוחה)
722060,"צ.סלעים ""2 עטוף 60 ק""ג 120/",אחר,שק,"צ.סלעים ""2 עטוף",ללא,60,🏭 4️⃣(החרש),חכמת / עלי
722080,"צ.סלעים ""2 עטוף 80 ק""ג 120/",אחר,שק,"צ.סלעים ""2 עטוף",ללא,80,🏭 4️⃣(החרש),חכמת / עלי
8510300,מסלול 0.5 100/300,פרופילים ושלד,יח',מסלול 0.5 100/300,ללא,1.8,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
8528300,מסלול 0.5 28/300,פרופילים ושלד,יח',מסלול 0.5 28/300,ללא,1.8,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
8537300,מסלול 0.5 37/300,פרופילים ושלד,יח',מסלול 0.5 37/300,ללא,1.8,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
8550300,מסלול 0.5 50/300,פרופילים ושלד,יח',מסלול 0.5 50/300,ללא,1.8,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
8570300,מסלול 0.5 70/300,פרופילים ושלד,יח',מסלול 0.5 70/300,ללא,1.8,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
8650300,מסלול 0.6 50/300,פרופילים ושלד,יח',מסלול 0.6 50/300,ללא,1.8,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
8670300,מסלול 0.6 70/300,פרופילים ושלד,יח',מסלול 0.6 70/300,ללא,1.8,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
9510300,ניצב 0.5 100/300,פרופילים ושלד,יח',ניצב 0.5 100/300,ללא,1.8,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
9528300,ניצב 0.5 28/300,פרופילים ושלד,יח',ניצב 0.5 28/300,ללא,1.8,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
9537300,ניצב 0.5 37/300,פרופילים ושלד,יח',ניצב 0.5 37/300,ללא,1.8,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
9550260,ניצב 0.5 50/260,פרופילים ושלד,יח',ניצב 0.5 50/260,ללא,1.8,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
9550280,ניצב 0.5 50/280,פרופילים ושלד,יח',ניצב 0.5 50/280,ללא,1.8,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
9550300,ניצב 0.5 50/300,פרופילים ושלד,יח',ניצב 0.5 50/300,ללא,1.8,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
9570260,ניצב 0.5 70/260,פרופילים ושלד,יח',ניצב 0.5 70/260,ללא,1.8,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
9570280,ניצב 0.5 70/280,פרופילים ושלד,יח',ניצב 0.5 70/280,ללא,1.8,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
9570300,ניצב 0.5 70/300,פרופילים ושלד,יח',ניצב 0.5 70/300,ללא,1.8,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
9650300,ניצב 0.6 50/300,פרופילים ושלד,יח',ניצב 0.6 50/300,ללא,1.8,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
9670300,ניצב 0.6 70/300,פרופילים ושלד,יח',ניצב 0.6 70/300,ללא,1.8,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
9870937,"לוח גבס סילבר בורד מ""ר **",לוחות גבס,יח',"לוח גבס סילבר בורד מ""ר **",ללא,0,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
9872686,לוח דנסגלאס 2.4/1.2 ע 12.7,לוחות גבס,יח',לוח דנסגלאס 2.4/1.2 ע 12.7,ללא,0,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
9873023,"לוח גבס סוג ב מ""ר **",לוחות גבס,יח',"לוח גבס סוג ב מ""ר **",ללא,0,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
9873231,לוח גבס פיאנו 260 ע 12.50,לוחות גבס,יח',לוח גבס פיאנו 260 ע 12.50,ללא,0,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
9876009,שפכטל CLEANEO להסרת שפכטל,שפכטלים,יח',שפכטל CLEANEO להסרת שפכטל,ללא,0,🏟️ 1️⃣(התלמיד),חכמת / עלי
9876084,מחבר אורך לפרופיל C60 חב' 1,פרופילים ושלד,יח',מחבר אורך לפרופיל C60 חב' 1,ללא,1.8,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
9876085,מחבר כפול לפרופיל C60 חב' 1,פרופילים ושלד,יח',מחבר כפול לפרופיל C60 חב' 1,ללא,1.8,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
9876371,לוח גבס ורוד 280 ע 15.90,לוחות גבס,יח',לוח גבס ורוד 280 ע 15.90,ללא,0,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
9876797,ניצב F47 אורך 3 מטר,פרופילים ושלד,יח',ניצב F47 אורך,ללא,1.8,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
